1,1759308053,nan,40.47,36.54,0.00,nan,nan,nan,nan
2,1759308053,nan,40.91,34.58,1.10,nan,nan,nan,nan
3,1759308053,nan,33.69,46.47,0.20,nan,nan,nan,nan
4,1759308053,nan,0,0,0,nan,nan,nan,nan
5,1759308053,nan,0,0,0,nan,nan,nan,nan
6,1759308053,nan,0,0,0,nan,nan,nan,nan
7,1759308053,nan,0,0,0,nan,nan,nan,nan
8,1759308053,nan,0,0,0,0,nan,nan
9,1759308053,nan,0,0,0,0,nan,nan
1,1759308058,nan,40.48,36.95,0.00,nan,nan,nan,nan
2,1759308058,nan,40.92,34.45,1.10,nan,nan,nan,nan
3,1759308058,nan,33.72,46.53,0.00,nan,nan,nan,nan
4,1759308058,nan,0,0,0,nan,nan,nan,nan
5,1759308058,nan,0,0,0,nan,nan,nan,nan
6,1759308058,nan,0,0,0,nan,nan,nan,nan
7,1759308058,nan,0,0,0,nan,nan,nan,nan
8,1759308058,nan,0,0,0,0,nan,nan
9,1759308058,nan,0,0,0,0,nan,nan
1,1759308064,nan,40.49,37.16,0.00,nan,nan,nan,nan
2,1759308064,nan,40.91,34.35,1.10,nan,nan,nan,nan
3,1759308064,nan,33.77,46.90,0.20,nan,nan,nan,nan
4,1759308064,nan,0,0,0,nan,nan,nan,nan
5,1759308064,nan,0,0,0,nan,nan,nan,nan
6,1759308064,nan,0,0,0,nan,nan,nan,nan
7,1759308064,nan,0,0,0,nan,nan,nan,nan
8,1759308064,nan,0,0,0,0,nan,nan
9,1759308064,nan,0,0,0,0,nan,nan
1,1759308069,nan,40.49,36.92,0.00,nan,nan,nan,nan
2,1759308069,nan,40.90,34.51,1.10,nan,nan,nan,nan
3,1759308069,nan,33.78,47.18,0.20,nan,nan,nan,nan
4,1759308069,nan,0,0,0,nan,nan,nan,nan
5,1759308069,nan,0,0,0,nan,nan,nan,nan
6,1759308069,nan,0,0,0,nan,nan,nan,nan
7,1759308069,nan,0,0,0,nan,nan,nan,nan
8,1759308069,nan,0,0,0,0,nan,nan
9,1759308069,nan,0,0,0,0,nan,nan
1,1759308074,nan,40.49,37.44,0.00,nan,nan,nan,nan
2,1759308074,nan,40.90,34.45,1.10,nan,nan,nan,nan
3,1759308074,nan,33.79,46.98,0.20,nan,nan,nan,nan
4,1759308074,nan,0,0,0,nan,nan,nan,nan
5,1759308074,nan,0,0,0,nan,nan,nan,nan
6,1759308074,nan,0,0,0,nan,nan,nan,nan
7,1759308074,nan,0,0,0,nan,nan,nan,nan
8,1759308074,nan,0,0,0,0,nan,nan
9,1759308074,nan,0,0,0,0,nan,nan
1,1759308080,nan,40.49,36.92,0.00,nan,nan,nan,nan
2,1759308080,nan,40.86,34.69,1.10,nan,nan,nan,nan
3,1759308080,nan,33.80,46.53,1.10,nan,nan,nan,nan
4,1759308080,nan,0,0,0,nan,nan,nan,nan
5,1759308080,nan,0,0,0,nan,nan,nan,nan
6,1759308080,nan,0,0,0,nan,nan,nan,nan
7,1759308080,nan,0,0,0,nan,nan,nan,nan
8,1759308080,nan,0,0,0,0,nan,nan
9,1759308080,nan,0,0,0,0,nan,nan
1,1759308085,nan,40.48,36.73,0.00,nan,nan,nan,nan
2,1759308085,nan,40.88,34.73,1.10,nan,nan,nan,nan
3,1759308085,nan,33.83,47.01,0.20,nan,nan,nan,nan
4,1759308085,nan,0,0,0,nan,nan,nan,nan
5,1759308085,nan,0,0,0,nan,nan,nan,nan
6,1759308085,nan,0,0,0,nan,nan,nan,nan
7,1759308085,nan,0,0,0,nan,nan,nan,nan
8,1759308085,nan,0,0,0,0,nan,nan
9,1759308085,nan,0,0,0,0,nan,nan
1,1759308090,nan,40.48,36.69,0.00,nan,nan,nan,nan
2,1759308090,nan,40.87,34.88,1.10,nan,nan,nan,nan
3,1759308090,nan,33.83,46.87,0.20,nan,nan,nan,nan
4,1759308090,nan,0,0,0,nan,nan,nan,nan
5,1759308090,nan,0,0,0,nan,nan,nan,nan
6,1759308090,nan,0,0,0,nan,nan,nan,nan
7,1759308090,nan,0,0,0,nan,nan,nan,nan
8,1759308090,nan,0,0,0,0,nan,nan
9,1759308090,nan,0,0,0,0,nan,nan
1,1759308095,nan,40.48,36.67,0.00,nan,nan,nan,nan
2,1759308095,nan,40.87,34.88,1.10,nan,nan,nan,nan
3,1759308095,nan,33.84,46.67,0.20,nan,nan,nan,nan
4,1759308095,nan,0,0,0,nan,nan,nan,nan
5,1759308095,nan,0,0,0,nan,nan,nan,nan
6,1759308095,nan,0,0,0,nan,nan,nan,nan
7,1759308095,nan,0,0,0,nan,nan,nan,nan
8,1759308095,nan,0,0,0,0,nan,nan
9,1759308095,nan,0,0,0,0,nan,nan
1,1759308101,nan,40.49,36.82,0.00,nan,nan,nan,nan
2,1759308101,nan,40.89,34.33,1.10,nan,nan,nan,nan
3,1759308101,nan,33.84,46.86,1.10,nan,nan,nan,nan
4,1759308101,nan,0,0,0,nan,nan,nan,nan
5,1759308101,nan,0,0,0,nan,nan,nan,nan
6,1759308101,nan,0,0,0,nan,nan,nan,nan
7,1759308101,nan,0,0,0,nan,nan,nan,nan
8,1759308101,nan,0,0,0,0,nan,nan
9,1759308101,nan,0,0,0,0,nan,nan
1,1759308106,nan,40.50,37.64,0.00,nan,nan,nan,nan
2,1759308106,nan,40.86,34.36,1.10,nan,nan,nan,nan
3,1759308106,nan,33.87,46.93,0.20,nan,nan,nan,nan
4,1759308106,nan,0,0,0,nan,nan,nan,nan
5,1759308106,nan,0,0,0,nan,nan,nan,nan
6,1759308106,nan,0,0,0,nan,nan,nan,nan
7,1759308106,nan,0,0,0,nan,nan,nan,nan
8,1759308106,nan,0,0,0,0,nan,nan
9,1759308106,nan,0,0,0,0,nan,nan
